player_id,team,opp,pos,name,fpts,proj_own,ceil,floor,min_exposure,max_exposure
11604,TBB,CAR,QB,Tom Brady,20.03,4.4,30.85,10.82,0,100
982346,IND,MIN,WR,Ashton Dulin,0.72,0.1,1.48,0.01,0,100
1844335,BUF,MIA,TE,Reggie Gilliam,0,,,,0,100
12897,CIN,CLE,WR,A.J. Green,12.63,,21.98,2.02,0,100
18415,ARI,WAS,DST,Cardinals,7.96,0.7,15.52,1.35,0,100
18446,BAL,HOU,DST,Ravens,7.72,1.7,15.05,1.31,0,100
21556,LVR,NOS,T3,Darren Waller,14.22,,21.47,2.99,0,100
36889,LVR,NOS,WR,Zay Jones,0.28,,0.54,0.01,0,100
1844246,DET,GBP,TE,Hunter Bryant,0,,,,0,100
1844583,DAL,ATL,RB,Rico Dowdle,0.12,0.1,0.24,0,0,100
1844578,DAL,ATL,WR,CeeDee Lamb,12.76,18.5,23.1,1.91,0,100
37011,BUF,MIA,WR,Isaiah McKenzie,0.61,0.1,1.22,0.01,0,100
35511,LAC,KCC,TE,Stephen Anderson,0.29,,0.59,0.02,0,100
1849814,SFO,NYJ,TE,Charlie Woerner,0.53,,1.06,0.01,0,100
1844245,DET,GBP,WR,Quintez Cephus,9.44,2.7,19.07,0.38,0,100
981967,BAL,HOU,QB,Trace McSorley,0,,,,0,100
35674,CIN,CLE,WR,Mike Thomas,2.56,,5.12,0.64,0,100
518088,SEA,NEP,K,Jason Myers,0,,,,0,100
1657588,ARI,WAS,QB,Chris Streveler,0,,,,0,100
1844642,PHI,LAR,WR,Quez Watkins,0,,,,0,100
35471,MIN,IND,RB,C.J. Ham,0,,,,0,100
1849783,LAR,PHI,WR,Van Jefferson Jr.,4.61,0.1,8.44,0.37,0,100
18416,ATL,DAL,DST,Falcons,4.55,0.9,8.87,0.77,0,100
18424,DET,GBP,DST,Lions,5.55,1.6,10.82,0.94,0,100
18430,MIA,BUF,DST,Dolphins,6.35,6.1,12.38,1.08,0,100
18438,PIT,DEN,DST,Steelers,9.05,8.4,17.65,1.54,0,100
982287,NYJ,SFO,TE,Trevon Wesco,0,,,,0,100
328302,MIN,IND,RB,Mike Boone,0.88,,1.76,0.02,0,100
1849726,LAC,KCC,RB,Joshua Kelley,7.82,0.7,14.55,1.56,0,100
12526,BUF,MIA,WR,Andre Roberts,0,,0,0,0,100
972934,WAS,ARI,QB,Dwayne Haskins Jr.,15.5,2.1,24.8,8.22,0,100
328391,NEP,SEA,T4,Sony Michel,8.31,,14.79,3.66,0,100
329007,SFO,NYJ,RB,Jeff Wilson Jr.,0,,,,0,100
21723,SFO,NYJ,RB,Tevin Coleman,8.81,0.1,13.57,3.79,0,100
328211,CHI,NYG,RB,Ryan Nall,0.74,0.1,1.27,0.27,0,100
1844306,MIN,IND,WR,Justin Jefferson,7.14,0.1,14.07,0.71,0,100
36851,PIT,DEN,RB,James Conner,12.76,1,19.91,6.25,0,100
18417,BUF,MIA,DST,Bills,8.68,6.7,16.93,1.48,0,100
18425,GBP,DET,DST,Packers,7.34,3.4,14.31,1.25,0,100
1844462,HOU,BAL,RB,Scottie Phillips,0,,,,0,100
1844429,NYJ,SFO,QB,James Morgan,0,,,,0,100
18439,LAC,KCC,DST,Chargers,5.95,1.3,11.6,1.01,0,100
1844676,WAS,ARI,RB,Antonio Gibson,8.75,1,16.89,3.59,0,100
36873,NOS,LVR,T6,Taysom Hill,3.06,,5.39,0.49,0,100
982054,PIT,DEN,RB,Benny Snell Jr.,8.03,1.5,13.73,3.45,0,100
35415,BAL,HOU,WR,Chris Moore,0,,,,0,100
21742,TEN,JAC,WR,Adam Humphries,8.66,1.7,5.2,4.07,0,100
21808,SEA,NEP,T3,Tyler Lockett,16.41,,25.76,2.13,0,100
1844580,DAL,ATL,TE,Sean McKeon,0,,,,0,100
37058,LAR,PHI,TE,Gerald Everett,4.5,0.1,9.23,0.5,0,100
982601,NOS,LVR,T5,Deonte Harris,4.98,,9.96,0.1,0,100
35493,IND,MIN,QB,Jacoby Brissett,0,,,,0,100
982203,BUF,MIA,RB,Devin Singletary,11.45,1.5,18.55,5.27,0,100
36825,DEN,PIT,WR,Tim Patrick,4.27,0.1,8.75,0.3,0,100
328733,CAR,TBB,WR,DJ Moore,15.73,2.7,26.58,8.34,0,100
18314,KCC,LAC,TE,Travis Kelce,17.12,9,23.97,2.91,0,100
18426,HOU,BAL,DST,Texans,5.31,0.8,10.35,0.9,0,100
18444,TEN,JAC,DST,Titans,8.65,3.6,16.87,1.47,0,100
18516,SFO,NYJ,RB,Kyle Juszczyk,2.82,,5.64,0.06,0,100
18431,MIN,IND,DST,Vikings,7.36,0.9,14.35,1.25,0,100
1849790,LAR,PHI,RB,Cam Akers,8.36,1,13.29,3.93,0,100
328736,WAS,ARI,QB,Kyle Allen,0,,,,0,100
11620,NYG,CHI,QB,Colt McCoy,0,,,,0,100
1844521,JAC,TEN,TE,Tyler Davis,0,,,,0,100
35635,PIT,DEN,RB,Derek Watt,0,,,,0,100
35670,LAR,PHI,TE,Tyler Higbee,11.3,2.5,18.98,2.94,0,100
18329,CAR,TBB,WR,Seth Roberts,0.11,,0.23,0.01,0,100
11615,PIT,DEN,QB,Ben Roethlisberger,17.8,2.3,25.63,10.68,0,100
12738,NYG,CHI,WR,Golden Tate,8.66,0.1,14.46,3.55,0,100
36854,CHI,NYG,QB,Mitchell Trubisky,18.57,5.1,29.9,6.5,0,100
1844156,CLE,CIN,TE,Harrison Bryant,1.62,,3.19,0.16,0,100
36972,PHI,LAR,WR,Greg Ward,5.43,0.7,9.67,0.87,0,100
18458,NEP,SEA,T4,James White,10.8,,19.12,2.7,0,100
982202,BUF,MIA,TE,Dawson Knox,6.1,0.1,10.98,1.34,0,100
18419,CHI,NYG,DST,Bears,8.41,1.8,16.4,1.43,0,100
402162,CHI,NYG,TE,Patrick Scales,0,,,,0,100
328395,NEP,SEA,T6,Ryan Izzo,3.11,,6.38,0.22,0,100
18432,NEP,SEA,DST,Patriots,6.81,,13.28,1.16,0,100
18440,SFO,NYJ,DST,49ers,9.04,6.7,17.63,1.54,0,100
35509,GBP,DET,RB,Tyler Ervin,1.67,0.1,3.34,0.03,0,100
21637,MIA,BUF,WR,DeVante Parker,10.79,1,17.91,1.51,0,100
328181,PIT,DEN,QB,Mason Rudolph,0,,,,0,100
36831,PHI,LAR,K,Jake Elliott,7.71,,10.79,3.7,0,100
1104969,MIA,BUF,RB,Patrick Laird,0.47,,0.92,0.08,0,100
1844428,NYJ,SFO,WR,Denzel Mims,0,,0,0,0,100
982875,SEA,NEP,RB,Travis Homer,2.96,,5.92,0.06,0,100
1844834,DEN,PIT,WR,Tyrie Cleveland,0,,,,0,100
21560,BAL,HOU,TE,Nick Boyle,5.34,0.1,9.88,0.37,0,100
1018781,DAL,ATL,WR,Ventell Bryant,0,,,,0,100
1844217,CHI,NYG,TE,Cole Kmet,2.07,0.1,4.22,0.12,0,100
328331,BUF,MIA,QB,Josh Allen,20.4,4.4,32.44,14.48,0,100
